run,,onset,duration,major_location,setting,locale,int_or_ext,flow_of_time,time_of_day,run,character,chronology
1,0,0,17,Paramount,mountain logo,mountain logo,ext,0,day,1,0,0
1,1,17,151.08,Savannah,sky over Savannah,sky over Savannah,ext,++,day,1,0,0
1,2,168.08,104.12,Savannah,bench at bus stop,bench at bus stop,ext,0,day,1,0,8
1,869,192,12,Savannah,bench at bus stop,bench at bus stop,ext,0,day,1,FORREST,8
1,870,204,2,Savannah,bench at bus stop,bench at bus stop,ext,0,day,1,FORREST,8
1,871,206,3,Savannah,bench at bus stop,bench at bus stop,ext,0,day,1,FORREST,8
1,872,209,16,Savannah,bench at bus stop,bench at bus stop,ext,0,day,1,FORREST,8
1,873,225,15,Savannah,bench at bus stop,bench at bus stop,ext,0,day,1,FORREST,8
1,874,245,15,Savannah,bench at bus stop,bench at bus stop,ext,0,day,1,FORREST,8
1,3,272.2,14.12,Greenbow Alabama,doctor's office,doctor's office,int,-,day,1,0,1
1,875,275,3,Greenbow Alabama,doctor's office,doctor's office,int,-,day,1,FORREST,1
1,876,278,7,Greenbow Alabama,doctor's office,doctor's office,int,-,day,1,FORREST,1
1,877,285,3,Greenbow Alabama,doctor's office,doctor's office,int,0,day,1,FORREST,1
1,4,286.32,14.24,Greenbow Alabama,doctor's office,doctor's office,int,0,day,1,0,1
1,5,300.56,11.4,Greenbow Alabama,doctor's office,doctor's office,int,0,day,1,0,1
1,878,308,3,Greenbow Alabama,main street,crossroads,ext,+,day,1,MRSGUMP,1
1,879,311,1,Greenbow Alabama,main street,crossroads,ext,+,day,1,MRSGUMP,1
1,6,311.96,6.32,Greenbow Alabama,main street,crossroads,ext,+,day,1,0,1
1,7,318.28,24.76,United States,flashback countryside,flashback countryside,ext,-,day,1,0,0
1,8,343.04,10.04,Greenbow Alabama,main street,in front of barbershop,ext,++,day,1,0,1
1,9,353.08,5,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,0,1
1,880,357,7,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,MRSGUMP,1
1,10,358.08,1.96,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,0,1
1,11,360.04,1.8,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,0,1
1,12,361.84,1.2,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,0,1
1,13,363.04,22.6,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,0,1
1,881,364,1,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,MRSGUMP,1
1,882,365,1,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,MRSGUMP,1
1,883,366,6,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,MRSGUMP,1
1,884,372,1,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,MRSGUMP,1
1,885,373,1,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,MRSGUMP,1
1,886,374,8,Greenbow Alabama,main street,in front of barbershop,ext,0,day,1,MRSGUMP,1
1,887,382,1,Gump property,access-road,at the mail boxes,ext,+,day,1,MRSGUMP,1
1,14,385.64,17.16,Gump property,access-road,at the mail boxes,ext,+,day,1,0,1
1,15,402.8,22.8,Gump property,access-road,alley to Gump House,ext,+,day,1,0,1
1,888,422,4,Gump property,Gump House,front of Gump House,ext,0,day,1,MRSGUMP,1
1,16,425.6,8.88,Gump property,Gump House,front of Gump House,ext,0,day,1,0,1
1,889,426,1,Gump property,Gump House,front of Gump House,ext,0,day,1,MRSGUMP,1
1,890,427,7,Gump property,Gump House,front of Gump House,ext,0,day,1,MRSGUMP,1
1,17,434.48,4.08,Greenbow Alabama,school,Hancock's office,int,++,day,1,0,1
1,18,438.56,4.88,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,891,441,1,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,892,442,3,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,19,443.44,4.32,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,893,445,2,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,20,447.76,14.68,Greenbow Alabama,school,school hallway,int,0,day,1,0,1
1,21,462.44,4.4,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,22,466.84,4.52,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,23,471.36,4.16,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,894,475,2,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,24,475.52,17.16,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,895,477,1,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,896,478,2,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,897,480,5,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,898,485,11,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,25,492.68,3.4,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,899,496,2,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,26,496.08,4.08,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,900,498,2,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,901,500,7,Greenbow Alabama,school,school hallway,int,0,day,1,FORREST,1
1,27,500.16,7.52,Greenbow Alabama,school,school hallway,int,0,day,1,0,1
1,28,507.68,4.64,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,29,512.32,4.56,Greenbow Alabama,school,Hancock's office,int,0,day,1,0,1
1,902,513,3,Greenbow Alabama,school,Hancock's office,int,0,day,1,MRSGUMP,1
1,903,516,1,Gump property,Gump House,front of Gump House,ext,++,night,1,MRSGUMP,1
1,30,516.88,5.36,Gump property,Gump House,front of Gump House,ext,++,night,1,0,1
1,904,519,7,Gump property,Gump House,front of Gump House,ext,++,night,1,FORREST,1
1,31,522.24,4.52,Gump property,Gump House,front of Gump House,ext,0,night,1,0,1
1,32,526.76,28.96,Gump property,Gump House,front of Gump House,ext,+,night,1,0,1
1,905,547,1,Gump property,Gump House,Forrest's bedroom,int,+,night,1,FORREST,1
1,906,548,2,Gump property,Gump House,Forrest's bedroom,int,+,night,1,FORREST,1
1,907,555,1,Gump property,Gump House,Forrest's bedroom,int,+,night,1,FORREST,1
1,33,555.72,30.76,Gump property,Gump House,Forrest's bedroom,int,+,night,1,0,1
1,908,556,9,Gump property,Gump House,Forrest's bedroom,int,+,night,1,MRSGUMP,1
1,909,571,1,Gump property,Gump House,Forrest's bedroom,int,+,night,1,MRSGUMP,1
1,910,572,3,Gump property,Gump House,Forrest's bedroom,int,+,night,1,MRSGUMP,1
1,911,575,2,Gump property,Gump House,Forrest's bedroom,int,+,night,1,MRSGUMP,1
1,912,577,3,Gump property,Gump House,Forrest's bedroom,int,+,night,1,MRSGUMP,1
1,913,580,6,Gump property,Gump House,Forrest's bedroom,int,+,night,1,FORREST,1
1,914,580,2,Gump property,Gump House,Forrest's bedroom,int,+,night,1,MRSGUMP,1
1,915,582,1,Gump property,Gump House,Forrest's bedroom,int,+,night,1,MRSGUMP,1
1,34,586.48,8.36,Gump property,Gump House,front of Gump House,ext,++,day,1,0,1
1,35,594.84,17.24,Gump property,Gump House,corridor downstairs,int,0,day,1,0,1
1,36,612.08,18.32,Gump property,Gump House,corridor upstairs,int,+,day,1,0,1
1,916,615,2,Gump property,Gump House,corridor upstairs,int,+,day,1,MRSGUMP,1
1,917,630,4,Gump property,Gump House,Jenny's bedroom,int,0,day,1,FORREST,1
1,37,630.4,2.08,Gump property,Gump House,Jenny's bedroom,int,0,day,1,0,1
1,918,632,1,Gump property,Gump House,Jenny's bedroom,int,0,day,1,MRSGUMP,1
1,38,632.48,1.16,Gump property,Gump House,Jenny's bedroom,int,0,day,1,0,1
1,919,633,5,Gump property,Gump House,Jenny's bedroom,int,0,day,1,MRSGUMP,1
1,39,633.64,2.72,Gump property,Gump House,Jenny's bedroom,int,0,day,1,0,1
1,920,634,7,Gump property,Gump House,Jenny's bedroom,int,0,day,1,FORREST,1
1,40,636.36,20.52,Gump property,Gump House,Jenny's bedroom,int,0,day,1,0,1
1,921,638,2,Gump property,Gump House,Jenny's bedroom,int,0,day,1,MRSGUMP,1
1,922,640,4,Gump property,Gump House,Jenny's bedroom,int,0,day,1,MRSGUMP,1
1,923,644,1,Gump property,Gump House,Jenny's bedroom,int,0,day,1,MRSGUMP,1
1,924,652,3,Gump property,Gump House,Jenny's bedroom,int,0,day,1,FORREST,1
1,925,655,5,Gump property,Gump House,Jenny's bedroom,int,0,day,1,FORREST,1
1,41,656.88,2.56,Gump property,Gump House,Jenny's bedroom,int,0,day,1,0,1
1,42,659.44,10.12,Gump property,Gump House,Jenny's bedroom,int,0,day,1,0,1
1,43,669.56,5.44,Greenbow Alabama,main street,in front of electronic store,ext,++,night,1,0,1
1,44,675,4.8,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,0,1
1,45,679.8,1.76,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,0,1
1,926,680,5,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,MRSGUMP,1
1,46,681.56,4.64,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,0,1
1,927,685,2,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,MRSGUMP,1
1,47,686.2,6.32,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,0,1
1,928,687,1,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,MRSGUMP,1
1,929,688,2,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,MRSGUMP,1
1,930,691,2,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,FORREST,1
1,48,692.52,10.04,Greenbow Alabama,main street,in front of electronic store,ext,0,night,1,0,1
1,49,702.56,10.12,Savannah,bench at bus stop,bench at bus stop,ext,++,day,1,0,8
1,931,703,7,Savannah,bench at bus stop,bench at bus stop,ext,++,day,1,FORREST,8
1,932,710,2,Gump property,access-road,at the mail boxes,ext,-,day,1,FORREST,1
1,50,712.68,8.68,Gump property,access-road,at the mail boxes,ext,-,day,1,0,1
1,933,714,4,Gump property,access-road,at the mail boxes,ext,-,day,1,MRSGUMP,1
1,934,718,2,Gump property,access-road,at the mail boxes,ext,0,day,1,MRSGUMP,1
1,935,720,1,Gump property,access-road,at the mail boxes,ext,0,day,1,MRSGUMP,1
1,51,721.36,6.08,Gump property,access-road,at the mail boxes,ext,0,day,1,0,1
1,52,727.44,2.64,Gump property,access-road,at the mail boxes,ext,0,day,1,0,1
1,936,729,7,Gump property,access-road,at the mail boxes,ext,0,day,1,FORREST,1
1,53,730.08,2.8,Gump property,access-road,at the mail boxes,ext,0,day,1,0,1
1,54,732.88,5.56,Gump property,access-road,at the mail boxes,ext,0,day,1,0,1
1,55,738.44,2.24,Gump property,access-road,at the mail boxes,ext,0,day,1,0,1
1,56,740.68,2.4,Gump property,access-road,at the mail boxes,ext,0,day,1,0,1
1,57,743.08,2.08,Gump property,access-road,at the mail boxes,ext,0,day,1,0,1
1,58,745.16,7.08,Gump property,access-road,at the mail boxes,ext,0,day,1,0,1
1,59,752.24,3,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,60,755.24,2.64,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,61,757.88,1.44,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,937,759,2,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,FORREST,1
1,62,759.32,1.32,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,63,760.64,1,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,938,761,12,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,FORREST,1
1,64,761.64,8.6,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,65,770.24,1.04,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,66,771.28,7.24,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,939,773,5,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,FORREST,1
1,67,778.52,12.52,Savannah,bench at bus stop,bench at bus stop,ext,++,day,1,0,8
1,940,786,1,Greenbow Alabama,school bus,inside driving bus,int,-,day,1,FORREST,1
1,941,787,4,Greenbow Alabama,school bus,inside driving bus,int,-,day,1,FORREST,1
1,68,791.04,8.52,Greenbow Alabama,school bus,inside driving bus,int,-,day,1,0,1
1,942,794,7,Greenbow Alabama,school bus,inside driving bus,int,-,day,1,JENNY,1
1,943,799,1,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,FORREST,1
1,69,799.56,2.2,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,944,800,8,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,FORREST,1
1,70,801.76,4.52,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,71,806.28,1.72,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,945,808,5,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,FORREST,1
1,72,808,5.44,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,946,809,1,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,JENNY,1
1,947,810,1,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,JENNY,1
1,948,811,1,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,JENNY,1
1,949,812,4,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,JENNY,1
1,73,813.44,15.88,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,74,829.32,4.16,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,75,833.48,3.48,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,76,836.96,2.92,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,77,839.88,7.44,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,0,1
1,950,840,3,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,JENNY,1
1,951,843,2,Greenbow Alabama,school bus,inside driving bus,int,0,day,1,JENNY,1
1,952,847,5,Greenbow Alabama,tree on a field,tree on a field,ext,++,day,1,JENNY,1
1,78,847.32,4.8,Greenbow Alabama,tree on a field,tree on a field,ext,++,day,1,0,1
1,953,848,10,Greenbow Alabama,tree on a field,tree on a field,ext,++,day,1,FORREST,1
1,954,852,5,Greenbow Alabama,tree on a field,tree on a field,ext,+,day,1,JENNY,1
1,79,852.12,5.08,Greenbow Alabama,tree on a field,tree on a field,ext,+,day,1,0,1
1,955,857,1,Greenbow Alabama,tree on a field,tree on a field,ext,++,day,1,JENNY,1
1,80,857.2,3.96,Greenbow Alabama,tree on a field,tree on a field,ext,++,day,1,0,1
1,81,861.16,4.04,Greenbow Alabama,tree on a field,tree on a field,ext,+,day,1,0,1
1,82,865.2,7.12,Greenbow Alabama,tree on a field,tree on a field,ext,++,day,1,0,1
1,956,871,1,Greenbow Alabama,tree on a field,tree on a field,ext,0,day,1,FORREST,1
1,83,872.32,13.76,Greenbow Alabama,tree on a field,tree on a field,ext,0,day,1,0,1
1,957,873,1,Greenbow Alabama,tree on a field,tree on a field,ext,0,day,1,JENNY,1
1,958,874,6,Greenbow Alabama,tree on a field,tree on a field,ext,0,day,1,JENNY,1
1,959,880,1,Greenbow Alabama,tree on a field,tree on a field,ext,0,day,1,JENNY,1
1,960,881,1,Greenbow Alabama,tree on a field,tree on a field,ext,0,day,1,JENNY,1
1,961,882,1,Greenbow Alabama,tree on a field,tree on a field,ext,0,day,1,JENNY,1
1,962,883,3,Greenbow Alabama,tree on a field,tree on a field,ext,0,day,1,JENNY,1
2,963,0,2,Savannah,bench at bus stop,bench at bus stop,ext,++,day,2,FORREST,8
2,84,0.08,5.08,Savannah,bench at bus stop,bench at bus stop,ext,++,day,2,0,8
2,964,2,1,Savannah,bench at bus stop,bench at bus stop,ext,++,day,2,FORREST,8
2,965,3,1,Savannah,bench at bus stop,bench at bus stop,ext,++,day,2,FORREST,8
2,966,4,2,Savannah,bench at bus stop,bench at bus stop,ext,++,day,2,FORREST,8
2,85,5.16,8.64,Savannah,bench at bus stop,bench at bus stop,ext,0,day,2,0,8
2,967,6,1,Savannah,bench at bus stop,bench at bus stop,ext,0,day,2,FORREST,8
2,968,9,1,Savannah,bench at bus stop,bench at bus stop,ext,0,day,2,FORREST,8
2,969,10,3,Savannah,bench at bus stop,bench at bus stop,ext,0,day,2,FORREST,8
2,86,13.8,2,Gump property,access-road,alley to Gump House,ext,-,day,2,0,1
2,87,15.8,1.16,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,970,16,1,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,88,16.96,1.92,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,971,17,2,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,89,18.88,1.12,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,972,19,5,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,90,20,1.96,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,973,21,1,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,91,21.96,1.08,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,974,23,1,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,92,23.04,1.44,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,975,24,1,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,976,24,18,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,93,24.48,0.8,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,977,25,1,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,94,25.28,1.44,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,978,26,1,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,95,26.72,2.08,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,979,27,2,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,96,28.8,1.6,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,980,29,1,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,981,30,11,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,97,30.4,3.56,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,98,33.96,4.92,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,99,38.88,3.28,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,982,41,17,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,983,42,5,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,100,42.16,3,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,101,45.16,1.4,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,102,46.56,1.36,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,984,47,19,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,103,47.92,1.64,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,104,49.56,1.76,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,105,51.32,6,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,106,57.32,2.32,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,985,58,1,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,986,59,1,Gump property,access-road,alley to Gump House,ext,0,day,2,JENNY,1
2,107,59.64,2.52,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,108,62.16,2.92,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,109,65.08,2.76,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,987,66,9,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,110,67.84,5.76,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,111,73.6,1.84,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,988,75,5,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,112,75.44,1.8,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,113,77.24,1.64,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,114,78.88,3.84,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,989,80,4,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,115,82.72,3.84,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,990,84,10,Gump property,access-road,alley to Gump House,ext,0,day,2,FORREST,1
2,116,86.56,2.52,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,117,89.08,4.92,Gump property,access-road,alley to Gump House,ext,0,day,2,0,1
2,118,94,3.28,Savannah,bench at bus stop,bench at bus stop,ext,++,day,2,0,8
2,991,94,1,Savannah,bench at bus stop,bench at bus stop,ext,++,day,2,FORREST,8
2,992,95,1,Savannah,bench at bus stop,bench at bus stop,ext,++,day,2,FORREST,8
2,993,96,3,Savannah,bench at bus stop,bench at bus stop,ext,++,day,2,FORREST,8
2,119,97.28,1.6,Savannah,bench at bus stop,bench at bus stop,ext,0,day,2,0,8
2,120,98.88,6.36,Savannah,bench at bus stop,bench at bus stop,ext,0,day,2,0,8
2,994,99,1,Savannah,bench at bus stop,bench at bus stop,ext,0,day,2,FORREST,8
2,995,100,5,Savannah,bench at bus stop,bench at bus stop,ext,0,day,2,FORREST,8
2,996,105,18,Gump property,access-road,alley to Gump House,ext,-,day,2,FORREST,1
2,121,105.24,9.36,Gump property,access-road,alley to Gump House,ext,-,day,2,0,1
2,122,114.6,8.36,Gump property,access-road,meadow near Gump House,ext,0,day,2,0,1
2,123,122.96,6.52,Greenbow Alabama,road with bridge,road with bridge,ext,+,day,2,0,1
2,124,129.48,3.24,Greenbow Alabama,road between trees,road between trees,ext,+,day,2,0,1
2,125,132.72,8.04,Greenbow Alabama,main street,in front of barbershop,ext,+,day,2,0,1
2,126,140.76,13.52,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,+,day,2,0,1
2,127,154.28,20.92,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,0,day,2,0,1
2,997,159,5,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,0,day,2,FORREST,1
2,128,175.2,11.72,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,0,day,2,0,1
2,998,177,2,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,0,day,2,JENNY,1
2,999,179,1,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,0,day,2,JENNY,1
2,1000,180,1,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,0,day,2,JENNY,1
2,1001,181,33,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,0,day,2,JENNY,1
2,1002,184,30,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day,2,FORREST,1
2,129,186.92,2.04,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day,2,0,1
2,130,188.96,3.68,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day,2,0,1
2,131,192.64,4.68,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day,2,0,1
